Text	No. words in text	No. hits in text	Freq. per hundred	language
0001a	1759	18	1.023309	B
0001b	1604	2	0.124688	B
0001c	1857	2	0.107701	B
0001d	2541	9	0.354191	B
0001e	2662	19	0.713749	B
0002a	2167	10	0.461467	B
0003a	1864	6	0.321888	B
0003b	1627	3	0.184388	B
0003c	1836	3	0.163399	B
0003d	3112	5	0.160668	B
0003e	3153	5	0.158579	B
0003f	2872	6	0.208914	B
0003g	2978	4	0.134318	B
0003h	2998	4	0.133422	B
0003i	2397	3	0.125156	B
0003j	2650	9	0.339623	B
0003k	6637	7	0.105469	B
0003l	3063	2	0.065295	B
0003p	1817	1	0.055036	B
0004a	1719	8	0.465387	B
0004b	2363	6	0.253915	B
0004c	3716	18	0.484392	B
0004d	12354	45	0.364254	B
0005a	3453	15	0.434405	B
0005b	3170	4	0.126183	B
0005c	6438	18	0.27959	B
0006c	3001	10	0.333222	B
0007a	1498	5	0.333778	B
0007b	2205	5	0.226757	B
0008a	1868	2	0.107066	B
0008b	1901	2	0.105208	B
0009b	1537	3	0.195185	B
0009c	3760	8	0.212766	B
0009d	3363	18	0.535236	B
0009e	3320	20	0.60241	B
0010a	2938	4	0.136147	B
0010b	3193	11	0.344504	B
0010c	5481	25	0.456121	B
0010d	3407	4	0.117405	B
0010e	2523	3	0.118906	B
0011a	1787	15	0.839396	B
0011b	1628	5	0.307125	B
0011c	1827	2	0.109469	B
0011e	2597	4	0.154024	B
0011f	1868	3	0.1606	B
0011g	1032	3	0.290698	B
0012a	2296	1	0.043554	B
0012b	1553	4	0.257566	B
0012c	2014	1	0.049652	B
0012d	5416	6	0.110783	B
0013a	2457	9	0.3663	B
0013b	5804	16	0.275672	B
0013c	2116	5	0.236295	B
0013d	2769	8	0.288913	B
0014a	4902	20	0.407997	B
0014b	1022	4	0.391389	B
0014c	2527	12	0.474871	B
0014d	3043	12	0.394348	B
0014e	3138	11	0.350542	B
0015a	2176	4	0.183824	B
0015b	2849	3	0.1053	B
0016a	1910	6	0.314136	B
0016b	2586	8	0.309358	B
0016c	6862	15	0.218595	B
0017a	1644	3	0.182482	B
0017b	1668	7	0.419664	B
0018a	2232	4	0.179211	B
0018c	6052	10	0.165235	B
0019a	2534	8	0.315706	B
0019b	2583	8	0.309717	B
0019c	2145	10	0.4662	B
0019d	2946	15	0.509165	B
0019e	3196	7	0.219024	B
0019f	2468	10	0.405186	B
0019g	2790	3	0.107527	B
0019h	2700	9	0.333333	B
0019i	2407	11	0.457	B
0019j	3161	4	0.126542	B
0020a	1778	5	0.281215	B
0020b	1563	15	0.959693	B
0020c	1246	7	0.561798	B
0020d	2171	9	0.414556	B
0020e	2624	25	0.952744	B
0020f	2998	10	0.333556	B
0020g	3267	26	0.795837	B
0020h	2999	16	0.533511	B
0021a	2683	1	0.037272	B
0021b	1676	6	0.357995	B
0022a	2277	12	0.527009	B
0022b	4849	25	0.51557	B
0022c	2675	12	0.448598	B
0023a	2069	15	0.724988	B
0023b	2153	5	0.232234	B
0023c	2132	9	0.422139	B
0023d	4113	6	0.145879	B
0023e	4186	11	0.262781	B
0024a	3087	5	0.16197	B
0024g	5119	6	0.11721	B
0024i	3860	12	0.310881	B
0025a	2875	6	0.208696	B
0025b	937	2	0.213447	B
0026a	2837	24	0.845964	B
0026b	1666	8	0.480192	B
0027a	5311	38	0.715496	B
0027b	2160	2	0.092593	B
0027c	2997	18	0.600601	B
0028b	2363	2	0.084638	B
0028c	1304	2	0.153374	B
0029a	1832	1	0.054585	B
0029b	6014	4	0.066511	B
0029c	2540	1	0.03937	B
0029e	2309	19	0.822867	B
0029f	2491	10	0.401445	B
0029g	2474	10	0.404204	B
0029h	2387	2	0.083787	B
0029i	6336	16	0.252525	B
0029j	2631	3	0.114025	B
0029l	3102	1	0.032237	B
0029m	2923	1	0.034211	B
0029n	6305	23	0.36479	B
0029o	2885	4	0.138648	B
0029p	2561	2	0.078094	B
0030a	2843	3	0.105522	B
0030b	2843	5	0.175871	B
0031a	1713	8	0.467017	B
0031b	1461	10	0.684463	B
0031c	1870	6	0.320856	B
0032a	3192	13	0.407268	B
0032c	1229	2	0.162734	B
0033a	2653	9	0.339239	B
0033b	1725	3	0.173913	B
0033c	3936	19	0.482724	B
0033d	2637	2	0.075844	B
0033e	2132	3	0.140713	B
0034a	2648	16	0.60423	B
0034b	2012	11	0.54672	B
0034c	3641	12	0.32958	B
0034d	2044	24	1.174168	B
0034e	3249	3	0.092336	B
0035a	2846	16	0.562193	B
0035b	4192	11	0.262405	B
0035c	3340	15	0.449102	B
0036a	1273	2	0.157109	B
0036b	3384	7	0.206856	B
0036c	2453	1	0.040766	B
0037b	1757	2	0.11383	B
0038a	2498	8	0.320256	B
0038b	2428	6	0.247117	B
0038c	2611	1	0.0383	B
0039a	2464	3	0.121753	B
0039b	3310	2	0.060423	B
0039d	2263	9	0.397702	B
0039e	2186	2	0.091491	B
0039f	6830	3	0.043924	B
0040a	3032	2	0.065963	B
0040b	6773	13	0.191939	B
0040c	12265	46	0.375051	B
0040d	1610	3	0.186335	B
0040e	4651	7	0.150505	B
0041a	1314	1	0.076104	B
0042a	2238	8	0.357462	B
0042b	1408	5	0.355114	B
0042c	3117	12	0.384986	B
0042d	2968	20	0.673854	B
0042e	5018	12	0.239139	B
0043a	1887	3	0.158983	B
0043b	2130	5	0.234742	B
0043c	1859	4	0.215169	B
0043d	1624	12	0.738916	B
0044a	3037	7	0.230491	B
0044b	5029	12	0.238616	B
0045a	3259	17	0.521632	B
0045b	2000	1	0.05	B
0046a	2336	6	0.256849	B
0047a	14147	57	0.402912	B
0047b	2690	13	0.483271	B
0047c	2517	12	0.476758	B
0047d	2919	10	0.342583	B
0047e	3123	10	0.320205	B
0047f	3794	11	0.289931	B
0047g	3068	12	0.391134	B
0048a	1975	19	0.962025	B
0049a	14781	7	0.047358	B
0049b	12284	15	0.12211	B
0049c	12801	11	0.085931	B
0050a	2169	2	0.092208	B
0050b	2150	8	0.372093	B
0050c	1954	1	0.051177	B
0051a	3756	16	0.425985	B
0051b	3466	13	0.375072	B
0051c	4957	7	0.141214	B
0051d	1008	8	0.793651	B
0052a	3568	14	0.392377	B
0053a	2164	3	0.138632	B
0053b	2546	4	0.157109	B
0053c	2751	2	0.072701	B
0053d	2922	6	0.205339	B
0054a	826	1	0.121065	B
0055a	1610	1	0.062112	B
0055b	2346	5	0.213129	B
0055c	2307	11	0.47681	B
0055d	1500	3	0.2	B
0055e	2563	5	0.195084	B
0055f	2383	10	0.419639	B
0056a	2405	5	0.2079	B
0056b	603	6	0.995025	B
0057a	1449	8	0.552105	B
0057b	1263	4	0.316706	B
0057c	1950	4	0.205128	B
0057d	680	5	0.735294	B
0057e	3701	24	0.648473	B
0057f	5038	19	0.377134	B
0058b	573	3	0.52356	B
0058c	612	2	0.326797	B
0058d	1646	11	0.668287	B
0058e	1976	6	0.303644	B
0058f	2377	5	0.210349	B
0058g	2657	2	0.075273	B
0059a	1717	2	0.116482	B
0061a	4072	8	0.196464	B
0061b	1279	2	0.156372	B
0061c	3741	8	0.213847	B
0061d	1396	5	0.358166	B
0061e	1860	7	0.376344	B
0061f	5499	8	0.145481	B
0061g	1702	10	0.587544	B
0061h	4738	12	0.253271	B
0062a	3336	4	0.119904	B
0062b	3217	8	0.248679	B
0062c	3340	10	0.299401	B
0063a	1530	7	0.457516	B
0063b	2380	5	0.210084	B
0063c	2156	3	0.139147	B
0063d	2123	2	0.094206	B
0064a	1932	3	0.15528	B
0064b	1836	3	0.163399	B
0064c	1596	2	0.125313	B
0064d	4821	14	0.290396	B
0064e	3700	7	0.189189	B
0064f	4480	13	0.290179	B
0065a	1608	14	0.870647	B
0065b	1834	12	0.654308	B
0065c	4561	14	0.30695	B
0065d	828	7	0.845411	B
0065e	1591	2	0.125707	B
0065f	1734	3	0.17301	B
0066a	1488	3	0.201613	B
0066b	1907	1	0.052438	B
0066c	3800	15	0.394737	B
0067b	3448	3	0.087007	B
0068a	1682	9	0.535077	B
0069a	4045	11	0.271941	B
0069b	4443	8	0.180059	B
0069c	1894	5	0.263992	B
0069d	5113	26	0.508508	B
0069e	5059	31	0.612769	B
0069f	5163	30	0.581058	B
0070a	1776	4	0.225225	B
0070b	2322	2	0.086133	B
0070c	1826	9	0.492881	B
0072a	2982	6	0.201207	B
0073a	4756	16	0.336417	B
0073b	2489	15	0.602652	B
0073c	2843	21	0.738656	B
0073d	3310	8	0.241692	B
0074a	1713	1	0.058377	B
0074b	2655	2	0.07533	B
0075a	2265	20	0.883002	B
0075c	2641	8	0.302916	B
0075d	2516	11	0.437202	B
0075e	2223	10	0.449843	B
0075f	2080	13	0.625	B
0075g	1956	3	0.153374	B
0075h	1796	10	0.556793	B
0075i	1690	1	0.059172	B
0075j	1852	7	0.37797	B
0075k	1868	17	0.910064	B
0075l	3674	8	0.217746	B
0075m	2658	8	0.300978	B
0076a	1895	3	0.158311	B
0076b	2831	7	0.247262	B
0076c	1739	11	0.632547	B
0077a	1783	4	0.224341	B
0077b	2514	1	0.039777	B
0077c	1608	4	0.248756	B
0077d	1897	17	0.896152	B
0077e	3083	4	0.129744	B
0077f	3131	9	0.287448	B
0077g	1127	4	0.354925	B
0079a	6765	25	0.369549	B
0079b	7416	14	0.188781	B
0079c	6815	12	0.176082	B
0079d	4646	5	0.107619	B
0080b	2107	2	0.094922	B
0081a	3709	13	0.350499	B
0081b	3141	16	0.509392	B
0081c	3510	11	0.31339	B
0081d	3507	7	0.199601	B
0082a	1817	16	0.880572	B
0082b	1706	4	0.234467	B
0082c	1681	9	0.535396	B
0082d	2262	12	0.530504	B
0082e	2228	8	0.359066	B
0082f	2345	15	0.639659	B
0082g	2973	9	0.302725	B
0082h	2222	9	0.405041	B
0082i	2272	7	0.308099	B
0082j	2926	10	0.341763	B
0083a	6864	10	0.145688	B
0084a	2421	11	0.454358	B
0086a	1591	5	0.314268	B
0086b	2850	8	0.280702	B
0086c	1625	2	0.123077	B
0086d	3246	8	0.246457	B
0086e	2953	11	0.372503	B
0086f	3275	7	0.21374	B
0088a	1977	7	0.354072	B
0088b	1922	7	0.364204	B
0088c	1329	1	0.075245	B
0090a	4029	9	0.22338	B
0090b	5726	27	0.471533	B
0092a	3107	4	0.128742	B
0092b	752	2	0.265957	B
0092c	3635	11	0.302613	B
0094a	1977	5	0.252908	B
0094b	1761	3	0.170358	B
0094c	2238	11	0.49151	B
0094d	3030	23	0.759076	B
0094e	2264	12	0.530035	B
0094f	2900	5	0.172414	B
0094g	2973	29	0.975446	B
0097a	3997	17	0.425319	B
0097b	3954	10	0.252908	B
0097c	4214	29	0.688182	B
0098a	2056	6	0.291829	B
0098b	3276	5	0.152625	B
0098c	1698	5	0.294464	B
0099a	2369	5	0.21106	B
0099b	2577	10	0.388048	B
0099c	1467	6	0.408998	B
0099d	2879	3	0.104203	B
0100b	1169	1	0.085543	B
0100c	995	2	0.201005	B
0103a	4374	15	0.342936	B
0103b	4015	15	0.373599	B
0103c	3601	12	0.333241	B
0103d	3949	29	0.734363	B
0104a	2116	4	0.189036	B
0104b	1608	1	0.062189	B
0109a	3290	19	0.577508	B
0109b	3402	8	0.235156	B
0111a	2474	1	0.04042	B
0112a	2846	5	0.175685	B
0112b	3201	9	0.281162	B
0112c	3170	11	0.347003	B
0112d	3297	12	0.363967	B
0112e	1239	1	0.08071	B
0112f	3405	5	0.146843	B
0113b	1563	5	0.319898	B
0114a	2848	6	0.210674	B
0114b	3171	3	0.094607	B
0114c	1511	3	0.198544	B
0114d	2362	11	0.465707	B
0114e	2850	8	0.280702	B
0114f	2082	7	0.336215	B
0114g	3238	9	0.277949	B
0114h	2953	13	0.44023	B
0114i	2383	8	0.335711	B
0114j	2271	11	0.484368	B
0116a	4741	16	0.337482	B
0116b	4918	15	0.305002	B
0116c	2343	7	0.298762	B
0116d	4643	8	0.172302	B
0118a	2495	7	0.280561	B
0119a	3544	4	0.112867	B
0119b	3578	6	0.167691	B
0119c	3737	11	0.294354	B
0119d	3859	3	0.07774	B
0119e	3627	19	0.523849	B
0119f	3399	6	0.176523	B
0119g	4960	17	0.342742	B
0120a	1426	4	0.280505	B
0120b	1492	6	0.402145	B
0120c	2925	11	0.376068	B
0120d	2346	12	0.511509	B
0120e	3236	13	0.401731	B
0122a	1788	1	0.055928	B
0122b	1989	9	0.452489	B
0122c	1722	14	0.813008	B
0123a	1651	3	0.181708	B
0124a	2523	3	0.118906	B
0124b	3579	10	0.279408	B
0124c	3723	10	0.268601	B
0124d	3762	32	0.850611	B
0125a	932	4	0.429185	B
0125b	1421	9	0.633357	B
0126a	2712	3	0.110619	B
0126b	2889	13	0.449983	B
0126c	1694	4	0.236128	B
0126d	3198	26	0.813008	B
0126e	3932	5	0.127162	B
0126f	3641	3	0.082395	B
0127b	3328	3	0.090144	B
0127c	3358	12	0.357356	B
0127d	1136	8	0.704225	B
0127e	4152	22	0.529865	B
0127f	2111	3	0.142113	B
0127i	3607	12	0.332686	B
0129a	2881	1	0.03471	B
0129b	3379	5	0.147973	B
0129c	3295	8	0.242792	B
0129d	2894	10	0.345543	B
0129e	2671	3	0.112317	B
0129f	2672	10	0.374251	B
0129g	2733	7	0.256129	B
0129h	2717	20	0.736106	B
0129i	2839	6	0.211342	B
0129j	2729	6	0.219861	B
0130a	1368	1	0.073099	B
0130d	3885	5	0.1287	B
0130e	3655	15	0.410397	B
0130g	3317	1	0.030148	B
0130h	4008	2	0.0499	B
0130i	2765	1	0.036166	B
0130j	6380	1	0.015674	B
0131a	1012	2	0.197628	B
0131b	2320	7	0.301724	B
0132a	1707	5	0.292912	B
0133a	1416	5	0.353107	B
0135a	2290	8	0.349345	B
0135b	2075	9	0.433735	B
0135c	3322	21	0.632149	B
0135d	3251	24	0.738234	B
0135e	2463	10	0.406009	B
0135f	3828	21	0.548589	B
0135g	2251	8	0.355398	B
0135h	2780	6	0.215827	B
0135i	2078	8	0.384986	B
0136a	3849	11	0.285789	B
0136b	3749	5	0.133369	B
0137a	2530	3	0.118577	B
0137b	3046	8	0.26264	B
0137c	1965	9	0.458015	B
0137d	1664	3	0.180288	B
0137e	2742	6	0.218818	B
0137f	3848	18	0.467775	B
0137g	2143	5	0.233318	B
0137h	2227	18	0.808262	B
0137i	6998	13	0.185767	B
0137j	7389	36	0.487211	B
0137k	6551	25	0.381621	B
0137l	6256	31	0.495524	B
0137m	7336	39	0.531625	B
0137n	7617	37	0.485756	B
0138b	2454	3	0.122249	B
0138c	2389	5	0.209293	B
0138d	2272	14	0.616197	B
0138e	2829	8	0.282785	B
0138g	2288	3	0.131119	B
0138h	2876	14	0.486787	B
0139a	2292	5	0.21815	B
0139b	2843	5	0.175871	B
0139c	2080	10	0.480769	B
0139d	3415	11	0.322108	B
0139e	2641	16	0.605831	B
0139f	2609	4	0.153315	B
0139g	2604	7	0.268817	B
0139h	2358	2	0.084818	B
0139i	2118	8	0.377715	B
0139j	2604	6	0.230415	B
0140b	2206	4	0.181324	B
0140c	1635	7	0.428135	B
0140d	1488	7	0.47043	B
0140e	2411	11	0.456242	B
0140f	2832	3	0.105932	B
0140g	2204	7	0.317604	B
0141a	2840	4	0.140845	B
0141c	862	1	0.116009	B
0141f	3024	8	0.26455	B
0141g	3510	7	0.19943	B
0141h	1629	1	0.061387	B
0142a	1873	1	0.05339	B
0143a	1248	3	0.240385	B
0143b	1417	15	1.058574	B
0143c	1350	4	0.296296	B
0143e	3150	16	0.507937	B
0143f	3369	19	0.563966	B
0143g	2479	13	0.524405	B
0143h	3086	20	0.648088	B
0144a	3177	14	0.440667	B
0144b	3057	4	0.130847	B
0144c	2234	4	0.179051	B
0144d	3112	8	0.257069	B
0144e	3446	3	0.087057	B
0146b	2713	11	0.405455	B
0146c	11952	19	0.158969	B
0146d	5417	46	0.849179	B
0146e	3664	31	0.84607	B
0146f	5610	9	0.160428	B
0146g	3269	15	0.458856	B
0147a	2377	6	0.252419	B
0147b	1407	2	0.142146	B
0148a	1802	5	0.277469	B
0148b	2024	9	0.444664	B
0150a	1684	2	0.118765	B
0150b	2963	12	0.404995	B
0150c	3183	1	0.031417	B
0152a	1439	5	0.347464	B
0152b	765	4	0.522876	B
0152c	1059	2	0.188857	B
0152d	4004	18	0.44955	B
0153a	1224	3	0.245098	B
0153b	1783	9	0.504767	B
0153c	1333	7	0.525131	B
0153d	789	3	0.380228	B
0153e	796	2	0.251256	B
0155a	3945	10	0.253485	B
0155b	842	5	0.593824	B
0155c	1915	6	0.313316	B
0156c	3949	16	0.405166	B
0156d	1753	10	0.570451	B
0159a	4001	1	0.024994	B
0159b	4902	1	0.0204	B
0159c	5029	2	0.039769	B
0159d	5009	7	0.139748	B
0159e	4980	10	0.200803	B
0161h	2734	2	0.073153	B
0162a	970	2	0.206186	B
0162b	2158	1	0.046339	B
0162c	1941	1	0.05152	B
0162d	1298	1	0.077042	B
0163a	3190	7	0.219436	B
0165a	3214	12	0.373367	B
0165b	3819	11	0.288034	B
0165c	3412	10	0.293083	B
0165d	929	2	0.215285	B
0166a	5305	8	0.150801	B
0166b	4705	6	0.127524	B
0168a	5215	4	0.076702	B
0168b	5456	14	0.256598	B
0169a	1065	5	0.469484	B
0169b	3046	20	0.656599	B
0169c	3543	17	0.479819	B
0169d	1364	1	0.073314	B
0169e	5443	10	0.183722	B
0169f	2242	2	0.089206	B
0169g	3724	4	0.107411	B
0169h	1564	5	0.319693	B
0169i	805	6	0.745342	B
0169j	4173	5	0.119818	B
0171a	2508	6	0.239234	B
0171b	1725	8	0.463768	B
0171c	2031	3	0.14771	B
0171d	1446	6	0.414938	B
0171e	791	3	0.379267	B
0172a	3283	14	0.426439	B
0172c	3470	6	0.172911	B
0173a	2357	6	0.254561	B
0173b	1698	6	0.353357	B
0176a	3598	2	0.055586	B
0177a	5343	8	0.149729	B
0177b	3675	17	0.462585	B
0178a	4076	9	0.220805	B
0178c	3750	14	0.373333	B
0179a	3282	9	0.274223	B
0179b	3063	21	0.685602	B
0179c	3281	6	0.182871	B
0179d	2217	3	0.135318	B
0179e	2097	5	0.238436	B
0179f	1755	5	0.2849	B
0179g	1850	3	0.162162	B
0179h	1934	6	0.310238	B
0179i	1931	4	0.207147	B
0179j	1639	3	0.183038	B
0181b	1169	5	0.427716	B
0181c	1799	3	0.166759	B
0182a	2062	15	0.727449	B
0182b	1602	4	0.249688	B
0183b	2585	5	0.193424	B
0183d	1558	1	0.064185	B
0183e	1928	2	0.103734	B
0186a	3587	7	0.195149	B
0187a	2368	12	0.506757	B
0187b	1873	1	0.05339	B
0188a	2094	4	0.191022	B
0188b	2238	4	0.178731	B
0188c	3298	11	0.333535	B
0188f	2382	8	0.335852	B
0188g	1248	2	0.160256	B
0188i	670	1	0.149254	B
0188j	2936	7	0.23842	B
0190a	2303	9	0.390795	B
0190b	2574	21	0.815851	B
0190c	1472	6	0.407609	B
0190d	1912	3	0.156904	B
0191a	1532	6	0.391645	B
0191b	3586	7	0.195204	B
0191c	3334	14	0.419916	B
0191d	3901	21	0.538324	B
0192a	1762	2	0.113507	B
0192b	1681	5	0.297442	B
0192c	2353	12	0.509987	B
0193a	3478	6	0.172513	B
0193b	690	4	0.57971	B
0193c	794	3	0.377834	B
0193d	5151	23	0.446515	B
0193e	1321	13	0.984103	B
0193f	1445	11	0.761246	B
0194a	1075	14	1.302326	B
0194b	1305	5	0.383142	B
0194c	1495	4	0.267559	B
0194d	2435	5	0.205339	B
0194e	2350	9	0.382979	B
0194f	2943	14	0.475705	B
0194g	2146	8	0.372787	B
0194h	3167	10	0.315756	B
0194i	2098	5	0.238322	B
0194j	2660	8	0.300752	B
0195a	3824	13	0.339958	B
0195b	3395	14	0.412371	B
0195c	7297	41	0.561875	B
0195d	8272	39	0.47147	B
0195e	7474	33	0.441531	B
0196a	2699	8	0.296406	B
0196b	1468	7	0.476839	B
0198a	2542	7	0.275374	B
0199a	920	4	0.434783	B
0199c	683	2	0.292826	B
0200d	917	2	0.218103	B
0200e	2445	8	0.327198	B
0200f	5363	12	0.223755	B
0201a	10760	25	0.232342	B
0202a	2435	5	0.205339	B
0202b	2578	2	0.07758	B
0202c	2761	19	0.688156	B
0202d	2394	32	1.336675	B
0202e	2554	2	0.078309	B
0202f	2577	8	0.310438	B
0202g	2580	10	0.387597	B
0202h	2927	2	0.068329	B
0202i	2691	2	0.074322	B
0202j	4511	18	0.399025	B
0202k	1743	10	0.573723	B
0202l	1879	29	1.543374	B
0202m	1874	7	0.373533	B
0202n	1694	2	0.118064	B
0203a	3952	16	0.404858	B
0203b	3118	14	0.449006	B
0203c	3484	11	0.315729	B
0203d	4904	21	0.428222	B
0203e	4627	27	0.583531	B
0203f	3050	16	0.52459	B
0203g	4634	23	0.496331	B
0203h	2823	10	0.354233	B
0203i	3904	21	0.53791	B
0203j	3246	7	0.21565	B
0204a	5197	3	0.057726	B
0206c	1360	2	0.147059	B
0206e	3304	19	0.575061	B
0206f	866	3	0.34642	B
0206g	927	2	0.21575	B
0206h	1728	4	0.231481	B
0206j	1262	4	0.316957	B
0206l	3285	10	0.304414	B
0208a	2450	6	0.244898	B
0208b	2773	6	0.216372	B
0208c	3758	8	0.212879	B
0208e	1997	9	0.450676	B
0208f	2054	20	0.97371	B
0208g	3140	6	0.191083	B
0209a	3505	8	0.228245	B
0209b	1696	13	0.766509	B
0209c	3171	10	0.315358	B
0209d	6573	5	0.076069	B
0209e	4381	6	0.136955	B
0209f	4214	14	0.332226	B
0209g	4980	2	0.040161	B
0210a	766	1	0.130548	B
0210d	1085	3	0.276498	B
0212a	2925	5	0.17094	B
0212b	1151	7	0.608167	B
0212c	2969	8	0.269451	B
0212d	2145	7	0.32634	B
0212e	838	5	0.596659	B
0214b	4415	23	0.520951	B
0214c	3687	12	0.325468	B
0214d	2857	8	0.280014	B
0215a	1686	11	0.652432	B
0215b	2761	7	0.253531	B
0215c	2167	10	0.461467	B
0215d	1692	10	0.591017	B
0215e	1692	5	0.295508	B
0219a	3855	9	0.233463	B
0219b	3889	32	0.822834	B
0219c	4230	23	0.543735	B
0219d	3986	17	0.426493	B
0219e	3982	23	0.577599	B
0222a	5110	14	0.273973	B
0222e	4152	10	0.240848	B
0223a	3718	21	0.56482	B
0223b	5807	15	0.258309	B
0223c	3614	5	0.138351	B
0223d	4954	6	0.121114	B
0224a	5190	21	0.404624	B
0224b	2010	10	0.497512	B
0224c	3083	10	0.324359	B
0224d	3207	12	0.374181	B
0224e	3968	6	0.15121	B
0224f	1500	5	0.333333	B
0224g	3803	7	0.184065	B
0225a	3494	6	0.171723	B
0225b	3004	8	0.266312	B
0225c	2025	11	0.54321	B
0225d	1926	3	0.155763	B
0226a	3764	9	0.239107	B
0226b	2550	1	0.039216	B
0226c	2694	5	0.185598	B
0226d	1973	3	0.152053	B
0227a	1853	5	0.269833	B
0227b	482	5	1.037344	B
0227c	1366	11	0.805271	B
0227d	4003	8	0.19985	B
0227e	765	4	0.522876	B
0228a	3838	5	0.130276	B
0228b	12577	24	0.190825	B
0228c	1447	10	0.691085	B
0228d	1946	1	0.051387	B
0228e	3452	27	0.782155	B
0228f	2845	10	0.351494	B
0228g	1180	3	0.254237	B
0228h	2416	1	0.041391	B
0229a	4776	20	0.41876	B
0229b	5997	28	0.4669	B
0229c	6072	11	0.181159	B
0229d	6818	20	0.293341	B
0232a	1292	5	0.386997	B
0232b	3416	3	0.087822	B
0232c	679	4	0.589102	B
0234a	4449	15	0.337154	B
0234b	2226	23	1.033243	B
0234c	3745	12	0.320427	B
0234d	2726	4	0.146735	B
0234e	1512	8	0.529101	B
0234f	3552	9	0.253378	B
0234g	3651	15	0.410846	B
0234h	1051	1	0.095147	B
0234i	1041	5	0.480307	B
0234j	3155	5	0.158479	B
0235a	3305	8	0.242057	B
0235b	3112	24	0.771208	B
0235c	2978	12	0.402955	B
0235d	2753	16	0.581184	B
0237a	1942	11	0.566426	B
0237b	3303	21	0.635786	B
0237c	2103	6	0.285307	B
0237d	1125	7	0.622222	B
0237e	1787	9	0.503637	B
0238a	3298	10	0.303214	B
0238b	1361	4	0.293902	B
0238c	1638	3	0.18315	B
0238d	1620	8	0.493827	B
0238e	1577	4	0.253646	B
0240a	2254	18	0.79858	B
0240b	1446	12	0.829876	B
0240c	3291	11	0.334245	B
0240d	2264	7	0.309187	B
0240e	2053	5	0.243546	B
0241a	3366	17	0.505051	B
0243a	2724	2	0.073421	B
0243b	2986	6	0.200938	B
0243c	2460	7	0.284553	B
0243d	1110	1	0.09009	B
0243e	3050	14	0.459016	B
0243f	3986	21	0.526844	B
0244d	2476	1	0.040388	B
0244e	2167	3	0.13844	B
0244f	2496	4	0.160256	B
0244g	2511	3	0.119474	B
0244h	2052	3	0.146199	B
0244i	2519	2	0.079397	B
0244j	2811	24	0.853789	B
0244k	5999	24	0.400067	B
0244l	2269	7	0.308506	B
0244m	5735	43	0.749782	B
0244n	3014	14	0.464499	B
0245a	3688	17	0.460954	B
0245b	4375	27	0.617143	B
0245c	3988	18	0.451354	B
0245d	3949	28	0.70904	B
0245e	4101	18	0.438917	B
0245f	4129	31	0.750787	B
0245g	5191	39	0.7513	B
0245h	1947	4	0.205444	B
0245i	4424	18	0.406872	B
0245j	3654	25	0.684182	B
0246a	3287	12	0.365075	B
0246b	3695	19	0.514208	B
0246c	3809	17	0.446311	B
0246d	2559	8	0.312622	B
0246e	3150	10	0.31746	B
0246f	2793	6	0.214823	B
0246g	2794	4	0.143164	B
0246h	2139	6	0.280505	B
0246i	3557	13	0.365477	B
0246j	3288	7	0.212895	B
0247a	3400	25	0.735294	B
0248a	2880	4	0.138889	B
0249a	2525	13	0.514851	B
0249b	2012	9	0.447316	B
0249c	3931	25	0.63597	B
0249d	14406	39	0.270721	B
0249e	2889	1	0.034614	B
0249f	2241	1	0.044623	B
0249g	2197	2	0.091033	B
0249i	1818	3	0.165017	B
0249j	2162	9	0.416281	B
0249k	1981	2	0.100959	B
0250a	3709	3	0.080884	B
0250b	3071	6	0.195376	B
0250c	1706	1	0.058617	B
0250d	2387	6	0.251362	B
0250e	9288	34	0.366064	B
0250f	1869	2	0.107009	B
0250g	2979	4	0.134273	B
0251a	3254	6	0.184388	B
0252a	6040	20	0.331126	B
0252b	2644	11	0.416036	B
0252c	3161	8	0.253084	B
0252d	1588	5	0.314861	B
0252e	2411	10	0.414766	B
0252f	2582	23	0.890782	B
0252g	2508	17	0.677831	B
0252h	4040	13	0.321782	B
0252i	2472	15	0.606796	B
0252j	4189	28	0.668417	B
0252k	3621	7	0.193317	B
0252l	2232	1	0.044803	B
0252m	1918	5	0.260688	B
0252n	5741	24	0.418046	B
0252o	2641	13	0.492238	B
0252p	2727	11	0.403374	B
0252q	2377	15	0.631048	B
0252r	11113	25	0.224962	B
0252s	2380	8	0.336134	B
0252t	1993	5	0.250878	B
0253a	1458	3	0.205761	B
0253b	1784	6	0.336323	B
0253c	857	4	0.466744	B
0253d	891	6	0.673401	B
0253e	3606	18	0.499168	B
0253f	1639	8	0.488103	B
0253g	3742	19	0.50775	B
0253h	4140	4	0.096618	B
0253i	1858	2	0.107643	B
0254a	1614	3	0.185874	B
0254b	2545	11	0.43222	B
0254f	1268	1	0.078864	B
0254g	1539	1	0.064977	B
0254h	1176	4	0.340136	B
0254i	872	2	0.229358	B
0254j	1632	3	0.183824	B
0255a	7187	22	0.306108	B
0255b	8149	32	0.392686	B
0255c	7076	25	0.353307	B
0255d	8219	35	0.425843	B
0255e	7431	8	0.107657	B
0255f	5566	55	0.988142	B
0255g	11451	28	0.24452	B
0255h	3120	17	0.544872	B
0257d	7032	9	0.127986	B
0257e	7422	5	0.067367	B
0258a	800	2	0.25	B
0258b	3358	15	0.446694	B
0258c	637	1	0.156986	B
0258d	4446	14	0.31489	B
