Text	No. words in text	No. hits in text	Freq. per hundred	language
MECG1052	2902	2	0.068918	A
MECG1061	2008	3	0.149402	A
MECG1071	6485	2	0.03084	A
MECG1081	4386	7	0.159599	A
MECG1091	11621	9	0.077446	A
MECG2011	2972	5	0.168237	A
MECG2031	2906	4	0.137646	A
MECG2041	4949	3	0.060618	A
MECG3011	4753	2	0.042079	A
MECG3021	2734	5	0.182882	A
MECG3031	2609	9	0.34496	A
NREG0011	4067	4	0.098353	A
NREG0021	883	4	0.453001	A
NREG0022	708	1	0.141243	A
NREG0023	820	2	0.243902	A
NREG0031	1111	3	0.270027	A
NREG0032	1990	6	0.301508	A
NREG0041	3119	4	0.128246	A
NREG0051	3903	11	0.281834	A
NREG0061	4319	11	0.254689	A
NREG0071	3193	13	0.407141	A
NREG0081	1943	1	0.051467	A
NREG0091	798	1	0.125313	A
NREG0101	1451	8	0.551344	A
NREG0111	1548	4	0.258398	A
NREG1011	3794	18	0.474433	A
NREG1021	1992	4	0.200803	A
NREG1031	1628	4	0.2457	A
NREG1041	4353	17	0.390535	A
NREG1051	4567	18	0.394132	A
NREG1061	3972	17	0.427996	A
NREG1071	2271	7	0.308234	A
NREG1081	1896	7	0.369198	A
NREG1091	2869	7	0.243987	A
NREG1101	1109	3	0.270514	A
NREG1102	2002	2	0.0999	A
NREG1111	2058	3	0.145773	A
NREG1121	5816	26	0.447043	A
NREG1141	1812	7	0.386313	A
NREG1142	940	1	0.106383	A
NREG1151	3404	10	0.293772	A
NREG1152	868	1	0.115207	A
NREG1161	4010	10	0.249377	A
NREG1171	5584	18	0.32235	A
NREG1181	2290	6	0.262009	A
NREG1182	2148	12	0.558659	A
NREG1191	1894	12	0.63358	A
NREG1201	1540	3	0.194805	A
NREG1211	2317	10	0.431593	A
NREG1221	1808	4	0.221239	A
NREG1222	872	2	0.229358	A
NREG1231	1955	6	0.306905	A
NREG1241	2384	1	0.041946	A
NREG1242	5237	23	0.439183	A
NREG1251	4457	21	0.471169	A
NREG1261	2846	8	0.281096	A
NREG1272	2155	1	0.046404	A
NREG1273	1634	8	0.489596	A
NREG1274	2156	5	0.231911	A
NREG1281	3535	13	0.367751	A
NREG1291	6083	8	0.131514	A
NREG1301	1918	3	0.156413	A
NREG1311	4103	6	0.146234	A
NREG2011	2125	8	0.376471	A
NREG2021	1477	6	0.406229	A
NREG2031	4691	16	0.341079	A
NREG2041	1896	13	0.685654	A
NREG2051	6094	13	0.213325	A
NREG2071	1990	6	0.301508	A
NREG2081	575	5	0.869565	A
NREG3011	4030	11	0.272953	A
NREG3021	3027	16	0.528576	A
NURG0011	4817	14	0.290637	A
NURG0021	9197	24	0.260955	A
NURG0031	2490	15	0.60241	A
NURG0041	2913	7	0.240302	A
NURG0051	3035	10	0.329489	A
NURG0061	3634	7	0.192625	A
NURG0071	3509	4	0.113993	A
NURG0081	4923	17	0.345318	A
NURG0091	3636	8	0.220022	A
NURG0101	4852	35	0.721352	A
NURG0111	6673	18	0.269744	A
NURG0121	1938	3	0.154799	A
NURG0131	2330	2	0.085837	A
NURG0141	3394	22	0.648203	A
NURG0151	5309	13	0.244867	A
NURG0152	3720	7	0.188172	A
NURG0161	3014	12	0.398142	A
NURG0171	3716	21	0.565124	A
NURG1011	3946	4	0.101368	A
NURG1022	2401	7	0.291545	A
NURG1031	1911	4	0.209314	A
NURG1041	1315	4	0.304183	A
NURG1042	1069	3	0.280636	A
NURG1051	1912	16	0.83682	A
NURG1061	3214	13	0.40448	A
NURG1071	3017	5	0.165728	A
NURG1081	3299	9	0.27281	A
NURG2011	4532	13	0.286849	A
NURG2021	10029	18	0.17948	A
NURG2031	5729	41	0.715657	A
NURG2032	3349	14	0.418035	A
NURG2033	5654	14	0.247612	A
NURG2034	4712	14	0.297114	A
NURG2041	2509	5	0.199283	A
NURG2051	2559	6	0.234467	A
NURG3011	3420	11	0.321637	A
NURG3021	1296	1	0.07716	A
NURG3031	5795	19	0.327869	A
NURG3041	1889	4	0.211752	A
NURG3051	6800	7	0.102941	A
NURG3061	5420	5	0.092251	A
PHIG0011	1932	5	0.258799	A
PHIG0021	2967	2	0.067408	A
PHIG0022	2072	7	0.337838	A
PHIG0023	2587	3	0.115964	A
PHIG0031	2766	4	0.144613	A
PHIG0041	2562	4	0.156128	A
PHIG0042	2146	6	0.27959	A
PHIG0051	4051	5	0.123426	A
PHIG0061	1623	2	0.123229	A
PHIG0062	1657	5	0.30175	A
PHIG0063	2070	5	0.241546	A
PHIG0064	1687	6	0.355661	A
PHIG0066	631	2	0.316957	A
PHIG0067	678	3	0.442478	A
PHIG0068	2279	2	0.087758	A
PHIG0071	2422	2	0.082576	A
PHIG0072	2527	3	0.118718	A
PHIG0081	959	3	0.312826	A
PHIG0082	1196	4	0.334448	A
PHIG0091	1735	2	0.115274	A
PHIG0101	3250	11	0.338462	A
PHIG0111	1840	5	0.271739	A
PHIG0121	1722	3	0.174216	A
PHIG0131	2586	10	0.386698	A
PHIG0141	2629	8	0.304298	A
PHIG0151	1271	4	0.314713	A
PHIG0161	2367	5	0.211238	A
PHIG0171	1584	17	1.073232	A
PHIG0172	1814	1	0.055127	A
PHIG0181	1551	1	0.064475	A
PHIG0182	1833	7	0.381888	A
PHIG0191	4785	8	0.167189	A
PHIG1011	3002	5	0.166556	A
PHIG1021	7037	18	0.255791	A
PHIG1022	4169	8	0.191893	A
PHIG1031	5234	11	0.210164	A
PHIG1041	2872	3	0.104457	A
PHIG1051	4323	8	0.185057	A
PHIG2011	2839	8	0.281789	A
PHIG2021	3242	5	0.154226	A
PHIG3011	9020	30	0.332594	A
PHIG3021	3865	3	0.07762	A
PHIG3031	15966	11	0.068896	A
PHYG0011	1769	3	0.169587	A
PHYG0012	2273	4	0.175979	A
PHYG0021	4946	8	0.161747	A
PHYG0031	1422	4	0.281294	A
PHYG0041	2291	3	0.130947	A
PHYG0042	1555	1	0.064309	A
PHYG1011	1643	7	0.42605	A
PHYG2011	3194	11	0.344396	A
PHYG2021	3152	5	0.158629	A
PHYG2031	2285	15	0.656455	A
PHYG2032	954	3	0.314465	A
PHYG2041	2418	3	0.124069	A
PHYG2051	2165	2	0.092379	A
PHYG2052	1501	2	0.133245	A
PHYG2061	2039	3	0.147131	A
PHYG2071	1831	12	0.65538	A
PHYG2081	1379	4	0.290065	A
PHYG3011	1779	4	0.224845	A
PHYG3031	4864	22	0.452303	A
POLG0011	3263	10	0.306466	A
POLG0012	4374	7	0.160037	A
POLG0021	2250	7	0.311111	A
POLG0022	3668	7	0.19084	A
POLG0031	3472	19	0.547235	A
POLG0032	3448	14	0.406032	A
POLG0041	3023	4	0.132319	A
POLG0051	2258	6	0.265722	A
POLG0061	1378	9	0.65312	A
POLG0071	3475	9	0.258993	A
POLG0091	3479	6	0.172463	A
POLG0121	3267	8	0.244873	A
POLG0131	4704	5	0.106293	A
POLG0141	3093	7	0.226317	A
POLG0151	1922	2	0.104058	A
POLG0161	2941	11	0.374022	A
POLG0171	2542	2	0.078678	A
POLG0172	2967	7	0.235929	A
POLG0181	3720	32	0.860215	A
POLG0191	2237	3	0.134108	A
POLG0201	3790	34	0.897098	A
